zip,lat,lng,population
80634,40.40075,-104.79222,61810
78249,29.56752,-98.614,61712
93905,36.6849,-121.60562,61633
19134,39.98953,-75.10838,61615
75040,32.92797,-96.62006,61508
95014,37.30827,-122.07981,61480
92647,33.72395,-118.00685,61476
91702,34.24129,-117.82614,61464
78228,29.46072,-98.57201,61441
77407,29.67658,-95.71455,61382
60619,41.74346,-87.60532,61372
10701,40.94702,-73.88034,61367
94122,37.76113,-122.48433,61248
30058,33.7377,-84.10779,61247
73160,35.33574,-97.47651,61204
32244,30.2171,-81.75384,61190
34711,28.52724,-81.75349,61189
95111,37.28401,-121.82731,61183
78504,26.27758,-98.23728,61182
7047,40.79376,-74.02416,61181
37167,35.96325,-86.52922,61176
48180,42.22605,-83.26881,61164
78254,29.53011,-98.72805,61141
10312,40.54489,-74.18084,61114
90004,34.07624,-118.31101,61105
91732,34.07239,-118.01455,61075
53215,42.99931,-87.94625,61028
32818,28.58518,-81.48716,61027
37122,36.17791,-86.48872,61002
21740,39.63233,-77.73902,60922
91761,34.03541,-117.5915,60827
90731,33.7334,-118.27398,60813
92630,33.64709,-117.68428,60804
2360,41.87817,-70.63089,60797
30263,33.38852,-84.85911,60769
10024,40.78534,-73.97138,60714
2148,42.43048,-71.05762,60710
77521,29.81298,-94.96233,60703
75227,32.77044,-96.68831,60632
34744,28.2954,-81.34675,60555
956,18.32121,-66.17185,60554
60609,41.81263,-87.65559,60551
2155,42.42324,-71.10878,60533
37129,35.92556,-86.44098,60516
90042,34.11475,-118.192,60509
33414,26.64829,-80.24943,60452
32808,28.57932,-81.44342,60450
83709,43.55212,-116.28847,60449
29485,32.94398,-80.19362,60383
92570,33.78377,-117.31737,60370
33125,25.7839,-80.23738,60347
78501,26.21599,-98.2391,60299
10031,40.82485,-73.95023,60280
37064,35.88966,-86.96112,60272
20874,39.1291,-77.29721,60258
32825,28.53681,-81.24243,60254
77386,30.10153,-95.3561,60252
22030,38.83891,-77.34188,60220
30906,33.34842,-81.97239,60200
77375,30.09393,-95.59095,60115
72712,36.39837,-94.22196,60096
85122,32.91672,-111.74798,60061
6010,41.681,-72.94065,60039
37128,35.80343,-86.47483,60038
78753,30.38353,-97.67335,60035
76137,32.85864,-97.29137,59983
95112,37.34461,-121.88346,59959
33064,26.27806,-80.11524,59942
96818,21.34637,-157.93704,59923
44060,41.67742,-81.32806,59882
43230,40.03648,-82.87057,59853
93030,34.2051,-119.1753,59844
79924,31.90224,-106.41355,59816
30083,33.79641,-84.19231,59798
33511,27.9099,-82.29405,59776
33142,25.80665,-80.25517,59773
77840,30.6115,-96.32332,59700
75056,33.07541,-96.90978,59674
22192,38.68358,-77.31821,59670
21122,39.11631,-76.49941,59664
